Date,Company,Industry,Close,Volume
01-01-2014 00:00,HDFCBANK,Financial Services,332.57501220703125,2246218
02-01-2014 00:00,HDFCBANK,Financial Services,328.5,3614496
03-01-2014 00:00,HDFCBANK,Financial Services,331.54998779296875,3256592
06-01-2014 00:00,HDFCBANK,Financial Services,330.8500061035156,2981710
07-01-2014 00:00,HDFCBANK,Financial Services,332.20001220703125,3948460
08-01-2014 00:00,HDFCBANK,Financial Services,332.3500061035156,2324740
09-01-2014 00:00,HDFCBANK,Financial Services,331.4750061035156,1888736
10-01-2014 00:00,HDFCBANK,Financial Services,331.0249938964844,3075254
13-01-2014 00:00,HDFCBANK,Financial Services,336.42498779296875,2376290
14-01-2014 00:00,HDFCBANK,Financial Services,336.1499938964844,1788560
15-01-2014 00:00,HDFCBANK,Financial Services,340.2749938964844,2313920
16-01-2014 00:00,HDFCBANK,Financial Services,336.5249938964844,2250588
17-01-2014 00:00,HDFCBANK,Financial Services,332.5,21687428
20-01-2014 00:00,HDFCBANK,Financial Services,335.0249938964844,2800184
21-01-2014 00:00,HDFCBANK,Financial Services,338.04998779296875,3125962
22-01-2014 00:00,HDFCBANK,Financial Services,338.54998779296875,3516668
23-01-2014 00:00,HDFCBANK,Financial Services,339.75,2741370
24-01-2014 00:00,HDFCBANK,Financial Services,336.70001220703125,4421450
27-01-2014 00:00,HDFCBANK,Financial Services,324.6000061035156,8530224
28-01-2014 00:00,HDFCBANK,Financial Services,322.2250061035156,9197712
29-01-2014 00:00,HDFCBANK,Financial Services,322.7250061035156,5485462
30-01-2014 00:00,HDFCBANK,Financial Services,315.8999938964844,5712730
31-01-2014 00:00,HDFCBANK,Financial Services,314.25,4810492
03-02-2014 00:00,HDFCBANK,Financial Services,313.25,2388410
04-02-2014 00:00,HDFCBANK,Financial Services,315.29998779296875,3704652
05-02-2014 00:00,HDFCBANK,Financial Services,318.7250061035156,3452692
06-02-2014 00:00,HDFCBANK,Financial Services,323.5,6733472
07-02-2014 00:00,HDFCBANK,Financial Services,323.875,2014734
10-02-2014 00:00,HDFCBANK,Financial Services,321.95001220703125,3140410
11-02-2014 00:00,HDFCBANK,Financial Services,322.3999938964844,2232428
12-02-2014 00:00,HDFCBANK,Financial Services,322.7250061035156,3218480
13-02-2014 00:00,HDFCBANK,Financial Services,316.25,1577600
14-02-2014 00:00,HDFCBANK,Financial Services,320.8999938964844,2124556
17-02-2014 00:00,HDFCBANK,Financial Services,325.20001220703125,1825060
18-02-2014 00:00,HDFCBANK,Financial Services,330.20001220703125,2509836
19-02-2014 00:00,HDFCBANK,Financial Services,335.0249938964844,2030474
20-02-2014 00:00,HDFCBANK,Financial Services,331.375,1724218
21-02-2014 00:00,HDFCBANK,Financial Services,332.20001220703125,1521936
24-02-2014 00:00,HDFCBANK,Financial Services,335.5,2509492
25-02-2014 00:00,HDFCBANK,Financial Services,335.54998779296875,2010280
26-02-2014 00:00,HDFCBANK,Financial Services,338.70001220703125,2275670
28-02-2014 00:00,HDFCBANK,Financial Services,334.79998779296875,2451792
03-03-2014 00:00,HDFCBANK,Financial Services,333.1000061035156,1839216
04-03-2014 00:00,HDFCBANK,Financial Services,335.8500061035156,3221934
05-03-2014 00:00,HDFCBANK,Financial Services,334.875,2003492
06-03-2014 00:00,HDFCBANK,Financial Services,337.79998779296875,2474340
07-03-2014 00:00,HDFCBANK,Financial Services,355.7250061035156,11383784
10-03-2014 00:00,HDFCBANK,Financial Services,367.2250061035156,13061926
11-03-2014 00:00,HDFCBANK,Financial Services,362.57501220703125,6500236
12-03-2014 00:00,HDFCBANK,Financial Services,362.7749938964844,3555108
13-03-2014 00:00,HDFCBANK,Financial Services,371.17498779296875,5724226
14-03-2014 00:00,HDFCBANK,Financial Services,366.07501220703125,6104240
18-03-2014 00:00,HDFCBANK,Financial Services,367.0,4051362
19-03-2014 00:00,HDFCBANK,Financial Services,369.2250061035156,3027568
20-03-2014 00:00,HDFCBANK,Financial Services,365.1000061035156,2597542
21-03-2014 00:00,HDFCBANK,Financial Services,366.92498779296875,3762796
24-03-2014 00:00,HDFCBANK,Financial Services,375.32501220703125,5856930
25-03-2014 00:00,HDFCBANK,Financial Services,375.07501220703125,4015546
26-03-2014 00:00,HDFCBANK,Financial Services,373.0249938964844,4704656
27-03-2014 00:00,HDFCBANK,Financial Services,373.375,12277466
28-03-2014 00:00,HDFCBANK,Financial Services,372.4750061035156,6080450
31-03-2014 00:00,HDFCBANK,Financial Services,374.3999938964844,4131214
01-04-2014 00:00,HDFCBANK,Financial Services,369.04998779296875,4025916
02-04-2014 00:00,HDFCBANK,Financial Services,365.95001220703125,5199376
03-04-2014 00:00,HDFCBANK,Financial Services,364.3999938964844,2779852
