Date,Infosys,TCS,Wipro,HCLTech,TechMahindra,LTIinfotech,PersistentSystems,TanlaPlatforms,TataElxsi,Coforge,HDFCBank,ICICIBank,AxisBank,KotakMahindraBank,StateBankofIndia,BajajFinance,IndusIndBank,BajajFinserv,HDFCLife,SBILife,SunPharma,DrReddy,Cipla,ApolloHospitals,DivisLaboratories,ZydusLifesciences,TorrentPharmaceuticals,Lupin,MaxHealthcare,AurobindoPharma,HindustanUnilever,NestleIndia,BritanniaIndustries,Godrej,Dabur,VarunBeverages,ColgatePalmoliveIndia,ProcterGambleIndia,HatsunAgroProducts,Emami,IOC,ONGC,BPCL,GAIL,AdaniGas,Reliance,HindustanPetroleum,OilIndia,PetronetLNG,GujaratGas
1/7/2000 15:30:00,102.54,,101.16,,,,,,128.55,,16.84,12.25,4.96,,25.78,,27.05,,,,13.38,191.14,99.8,142.05,,,,4.33,,39.32,,,,,,,,,,,,,,,,,,,,
1/14/2000 15:30:00,95.13,,93.67,122.39,,,,,112.78,,16.55,14.36,4.65,,22.57,,25.95,,,,13.15,184.19,102.46,147.43,,,,4.28,,32.67,,,,,,,,,,,,,,,,,,,,
1/21/2000 15:30:00,104.85,,112.11,111.33,,,,,119.08,,18.82,18.06,5.02,,22.4,,30.3,,,,15.08,193.94,96.09,168.6,,,,4.1,,34.59,,,,,,,,,,,,,,,,,,,,
1/28/2000 15:30:00,118.93,,152.53,137.31,,,,,106.98,,22.79,24.59,5.85,,23.44,,34,,,,16.07,178.61,94.7,202.73,,,,3.54,,31.77,,,,,,,,,,,,,,,,,,,,
2/4/2000 15:30:00,123.39,,194.13,124.16,,,,,106.88,,22.9,26.25,8.61,,24.14,,38.7,,,,17.81,185.14,97.29,233.4,,,,3.51,,30.24,,,,,,,,,,,,,,,,,,,,
2/11/2000 15:30:00,155.4,,227.87,134.78,,,,,124.55,,23.21,29.15,8.42,,23.59,,36.75,,,,17.48,176.56,93.25,198.15,,,,3.55,,28.93,,,,,,,,,,,,,,,,,,,,
2/18/2000 15:30:00,154.13,,334.81,173.5,,,,,111.9,,24.26,31.7,7.32,,22.75,,37.55,,,,19.93,201.09,96.09,245.8,,,,3.38,,29.66,,,,,,,,,,,,,,,,,,,,
2/25/2000 15:30:00,140.43,,257.57,144.83,,,,,97.43,,22.7,29.15,7.89,,22.74,,33.4,,,,22.2,194.41,90.78,199.8,,,,3,,26.01,,,,,,,,,,,,,,,,,,,,
3/3/2000 15:30:00,172.81,,258.61,152.73,,,,,102.63,,27.32,39.24,7.11,,19.64,,32.95,,,,19.18,161.67,71.61,179.83,,,,2.62,,22.43,,,,,,,,,,,,,,,,,,,,
3/10/2000 15:30:00,182.26,,237.83,112.43,,,,,86.33,,25.42,38.48,5.61,,16.08,,31.95,,,,16.14,163.3,77.88,182.9,,,,2.28,,23.15,,,,,,,,,,,,,,,,,,,,
3/16/2000 15:30:00,143.28,,172.36,121.58,,,,,73.3,,25.7,37.08,6.38,,18.84,,29.65,,,,19.05,180.72,85.06,152.5,,,,2.66,,24.29,,,,,,,,,,,,,,,,,,,,
3/24/2000 15:30:00,169.12,,200.53,132.71,,,,,70.68,,27.34,42.5,6.38,,18.61,,29.1,,,,18.33,206.44,89.45,174.38,,,,2.44,,22.88,,,,,,,,,,,,,,,,,,,,
3/31/2000 15:30:00,140.16,,209.71,107.63,,,,,64.3,,25.72,48.55,7.94,,19.32,,27.8,,,,15.83,204.04,90.67,156.4,,,,2.41,,24.97,,,,,,,,,,,,,,,,,,,,
4/7/2000 15:30:00,142.01,,197.8,107.9,,,,,57.88,,20.8,39.84,7.09,,20.58,,25.7,,,,14.51,191.91,99.16,148.6,,,,2.28,,24.44,,,,,,,,,,,,,,,,,,,,
4/13/2000 15:30:00,144.86,,186.78,100.94,,,,,59.4,,23.15,40.82,7,,19.33,,24.3,,,,14.47,194.61,97.03,161.48,,,,2.36,,23.11,,,,,,,,,,,,,,,,,,,,
4/20/2000 15:30:00,118.81,,153.6,84.17,,,,,52.05,,22.57,39.17,6.69,,19.19,,21.8,,,,12.35,164.52,82.78,154.15,,,,2.25,,20.98,,,,,,,,,,,,,,,,,,,,
4/28/2000 15:30:00,126.9,,126.81,97.38,,,,,53.15,,24.52,42.82,6.9,,19.48,,25.9,,,,9.23,161.41,71.27,127.75,,7.98,,2.07,,20.22,,,,,,,,,,,,,,,,,,,,
5/5/2000 15:30:00,133.84,,122.56,106.35,,,,,59.23,,25.99,39.24,7.14,,19,,24.3,,,,11.29,167.08,65.56,135.3,,8,,2.19,,21.04,,,,,,,,,,,,,,,,,,,,
5/12/2000 15:30:00,107.2,,91.02,72.28,,,,,50.48,,26.21,37.86,7.05,,17.65,,22.25,,,,8.93,158.06,62.05,119.98,,10.27,,2.25,,19.98,,,,,,,,,,,,,,,,,,,,
5/19/2000 15:30:00,100.88,,74.99,75.51,,,,,48.7,,25.58,38.2,7.41,,17.48,,21.3,,,,11.35,166.32,64.45,114.13,,11.21,,2.18,,20.21,,,,,,,,,,,,,,,,,,,,
5/26/2000 15:30:00,93.41,,60.4,60.89,,,,,45.03,,23.03,37.75,6.99,,17.72,,20.7,,,,10.42,158.27,55.79,98.38,,10.66,,2.25,,19.24,,,,,,,,,,,,,,,,,,,,
6/2/2000 15:30:00,117.72,,70.87,78.55,,,,,54.2,,24.45,37.64,7.03,,19.06,,21.3,,,,11.27,166.21,63.32,102.55,,12.86,,2.4,,21.38,,,,,,,,,,,,,,,,,,,,
6/9/2000 15:30:00,123.99,,89.82,87.18,,,,,62.78,,24.53,38.94,7.09,,21.04,,21,,,,13.19,162.93,61.88,105,,14.35,,2.55,,20.13,,,,,,,,,,,,,,,,,,,,
6/16/2000 15:30:00,131.1,,105.28,87.89,,,,,61.58,,25.1,38.1,6.78,,22.04,,20.95,,,,12.66,157.03,68.14,120.93,,13.17,,2.41,,20.08,,,,,,,,,,,,,,,,,,,,
6/23/2000 15:30:00,129.05,,98.11,81.57,,,,,66.65,,25.74,39.04,6.66,,22.32,,20.35,,,,13.96,160.44,69.16,116.35,,11.84,,2.4,,24.45,,,,,,,,,,,,,,,,,,,,
6/30/2000 15:30:00,129.85,,109.91,80.18,,,,,64.65,,25.24,38.45,6.6,,21.45,,19.6,,,,13.5,163.23,69.16,120.88,,10.98,,2.3,,22.57,,,,,,,,,,,,,,,,,,,,
7/7/2000 15:30:00,132.62,,113.02,78.32,,,,,61.73,,28.18,39.03,6.77,,21.88,,19.75,,,,15.21,168.14,74.64,120.93,,10.93,,2.28,,28.98,,,,,,,,,,,,,,,,,,,,
7/14/2000 15:30:00,121.41,,106.79,75.32,,,,,60.93,,26.58,37.72,8.14,,21.29,,19.5,,,,14.32,159.79,64.26,117.78,,10.73,,2.3,,34.17,,,,,,,,,,,,,,,,,,,,
7/21/2000 15:30:00,114.83,,97.06,70.53,,,,,55.4,,24.16,36.72,8.36,,20.57,,19.65,,,,14.82,146.09,57.13,119.95,,10.07,,2.2,,33.97,,,,,,,,,,,,,,,,,,,,
7/28/2000 15:30:00,106.96,,91.88,63.01,,,,,50.48,,23.51,36.55,7.97,,19.42,,17.8,,,,15.1,135.47,56.57,114.53,,9.31,,2.05,,31.85,,,,,,,,,,,,,,,,,,,,
8/4/2000 15:30:00,98.83,,82.44,59.14,,,,,47.08,,24.98,37.44,7.55,,19.05,,17.5,,,,14.98,143.98,57.7,106.78,,8.98,,1.96,,25.24,,,,,,,,,,,,,,,,,,,,
8/11/2000 15:30:00,113.06,,88.65,61.91,,,,,48,,24.22,36.93,7.56,,18.82,,17.45,,,,14.89,137.73,58.45,120.1,,8.79,,1.91,,21.08,,,,,,,,,,,,,,,,,,,,
8/18/2000 15:30:00,124.55,,99.2,68.83,,,,,51.43,,23.96,37.67,7.58,,18.57,,16.75,,,,14.8,143.65,61.66,119.13,,8.96,,2.05,,20.87,,,,,,,,,,,,,,,,,,,,
8/25/2000 15:30:00,127.44,,115.71,72.55,,,,,52.33,,23.88,35.43,7.59,,18.73,,17.3,,,,14.69,168.49,67.24,117.05,,9.41,,2.68,,23.63,,,,,,,,,,,,,,,,,,,,
8/31/2000 15:30:00,130.11,,122.3,81.27,,,,,54.75,,23.94,35.44,7.62,,18.72,,19.55,,,,14.05,164.95,64.92,135.7,,9.29,,2.64,,22.43,,,,,,,,,,,,,,,,,,,,
9/8/2000 15:30:00,134.1,,124.78,81.88,,,,,60.93,,23.86,35.42,8.03,,20.07,,20.7,,,,13.63,178.13,63.62,125.2,,9.67,,2.7,,26.71,,,,,,,,,,,,,,,,,,,,
9/15/2000 15:30:00,132.78,,110.81,70.61,,,,,54.75,,22.77,28.58,7.59,,18.84,,20.35,,,,13.04,160.19,57.48,115.03,,8.8,,2.35,,25.49,,,,,,,,,,,,,,,,,,,,
9/22/2000 15:30:00,110.02,,92.25,64.47,,,,,49.55,,21.69,28.62,7.08,,17.27,,18.45,,,,11.16,152.93,52.23,115,,8.25,,2.13,,20.98,,,,,,,,,,,,,,,,,,,,
9/29/2000 15:30:00,115.02,,99.62,71.85,,,,,50.8,,23.43,27.76,7.24,,16.74,,17.7,,,,10.88,156.39,55.08,110.58,,8.57,,2.12,,20.1,,,,,,,,,,,,,,,,,,,,
10/6/2000 15:30:00,117.72,,97.81,64.47,,,,,50.35,,24.44,20.27,7.19,,16.18,,17.85,,,,11.83,167.94,65.38,107.3,,8.66,,2.1,,21.01,,,,,,,,,,,,,,,,,,,,
10/13/2000 15:30:00,101.83,,81.65,56.47,,,,,45.15,,23.65,22.85,6.41,,15.62,,16.65,,,,10.61,167.94,62.58,112.53,,7.88,,2.02,,17.67,,,,,,,,,,,,,,,,,,,,
10/20/2000 15:30:00,111.31,,86.05,65.24,,,,,46.15,,24.47,22.96,7.47,,15.19,,17.05,,,,11.98,171.47,64.5,103.48,,7.64,,1.95,,16.62,,,,,,,,,,,,,,,,,,,,
10/27/2000 15:30:00,112.51,,86.75,79.56,,,,,46.43,,24,20.91,7.68,,14.96,,16.75,,,,13.61,176.44,72.16,103.98,,8.55,,2.06,,19.94,,,,,,,,,,,,,,,,,,,,
11/3/2000 15:30:00,118.28,,90.18,75.6,,,,,47.7,,24.81,22.87,7.82,,16.49,,17.25,,,,13.55,181.78,74.21,106.53,,8.79,,2.02,,20.39,,,,,,,,,,,,,,,,,,,,
11/10/2000 15:30:00,120.91,,88.07,76.45,,,,,49.35,,24.52,22.45,7.89,,15.93,,17.15,,,,13.54,188.98,78.93,117.98,,9.37,,2.06,,22.74,,,,,,,,,,,,,,,,,,,,
11/17/2000 15:30:00,119.32,,90.03,81.21,,,,,49.1,,22.98,26.76,8.37,,15.95,,19.4,,,,13.12,171.6,78.03,105.93,,9.67,,2.04,,22.95,,,,,,,,,,,,,,,,,,,,
11/24/2000 15:30:00,116.54,,93.44,79.39,,,,,48.38,,22.37,26.03,9.28,,15.98,,20.6,,,,13.23,166.59,79.72,104.98,,10.22,,2.09,,26.92,,,,,,,,,,,,,,,,,,,,
12/1/2000 15:30:00,113.88,,105.75,77.39,,,,,48.85,,21.63,25.82,8.79,,17.77,,23.05,,,,12.83,168.84,82.08,104.6,,10.14,,2.19,,26.6,,,,,,,,,,,,,,,,,,,,
12/8/2000 15:30:00,115.5,,112.89,80.82,,,,,56.38,,21.92,30.72,9.16,,18.58,,22.9,,,,13.31,167.52,80.96,103.2,,10.27,,2.15,,25.97,,,,,,,,,,,,,,,,,,,,
12/15/2000 15:30:00,112.54,,104.34,81.96,,,,,51.5,,21.98,28.58,9.03,,18.09,,22.45,,,,14.07,169.23,83.66,97.3,,10.54,,2.33,,25.95,,,,,,,,,,,,,,,,,,,,
12/22/2000 15:30:00,90.81,,86.42,66.96,,,,,46.38,,21.63,28.23,8.98,,17.7,,19.15,,,,13.14,161.41,76.88,92.78,,10.2,,2.2,,23.33,,,,,,,,,,,,,,,,,,,,
12/29/2000 15:30:00,88.97,,89.97,67.37,,,,,48.43,,22.28,27.36,9.04,,18.17,,20.85,,,,13.45,159.33,83.52,92.08,,10.53,,2.16,,24.94,,,,,,,,,,,,,,,,,,,,
1/5/2001 15:30:00,99.71,,104.69,76.18,,,,,52.55,,22.86,30.12,9.3,,20.28,,20.85,,,,14.04,157.48,85.98,94.03,,11.11,,2.26,,24.21,,,,,,,,,,,,,,,,,,,,
1/12/2001 15:30:00,90.64,,96.02,76.13,,,,,47.93,,23.73,27.07,9.3,,20.84,,19.7,,,,13.47,166.55,85.75,93.45,,10.6,,2.2,,22.99,,,,,,,,,,,,,,,,,,,,
1/19/2001 15:30:00,105.47,,109.25,91.43,,,,,49.95,,25.18,27.86,9.54,,20.72,,19.5,,,,14.4,169.04,86.37,91.4,,10.43,,2.1,,21.7,,,,,,,,,,,,,,,,,,,,
1/25/2001 15:30:00,106.05,,106.51,82.85,,,,,54.23,,24.96,28.94,10.81,,22.09,,21.25,,,,14.35,163.76,86.63,92.1,,10.32,,2.16,,21.68,,,,,,,,,,,,,,,,,,,,
2/2/2001 15:30:00,107.24,,105.46,77.42,,,,,55.9,,25.23,28.16,8.65,,22.12,,20.3,,,,15.05,162.33,92.4,92.43,,9.44,,1.98,,21.5,,,,,,,,,,,,,,,,,,,,
2/9/2001 15:30:00,100.39,,110.03,75.39,,,,,64.63,,27.22,34.76,8.63,,24.22,,22.9,,,,14.92,162.22,94.01,92.13,,10.37,,2.08,,21.54,,,,,,,,,,,,,,,,,,,,
2/16/2001 15:30:00,98.35,,106.47,77.79,,,,,61.25,,25.38,28.93,7.94,,22.19,,22,,,,14.89,162.33,94.23,87.23,,10.05,,1.96,,21.01,,,,,,,,,,,,,,,,,,,,
2/23/2001 15:30:00,87.85,,94.92,68.77,,,,,73.35,,24.74,28.76,7.49,,21,,20.5,,,,14.54,162.39,84.75,78,,9.85,,1.9,,20.17,,,,,,,,,,,,,,,,,,,,
3/2/2001 15:30:00,77.5,,78.73,60.56,,,,,48.73,,26.46,33.95,7.03,,25.01,,18.75,,,,14.47,167.06,84.06,69.9,,9.79,,1.78,,20.09,,,,,,,,,,,,,,,,,,,,
3/9/2001 15:30:00,76.72,,74.21,57.76,,,,,40.03,,25.27,34.32,6.03,,24.51,,16.25,,,,12.46,167.76,79.91,48.98,,9.4,,1.62,,18.3,,,,,,,,,,,,,,,,,,,,
3/16/2001 15:30:00,73.43,,62.14,62.35,,,,,40.9,,23.25,30.29,5.86,,22.02,,15.3,,,,12.85,162.68,77.26,44.55,,9.14,,1.45,,16.35,,,,,,,,,,,,,,,,,,,,
