Year,Company,industry,Market cap,MC_Change,P/E ratio,PE_Change
2022,TCS,Tech,$144.02 B,-22.48%,29.4,-20.11%
2022,Infosys,Tech,$75.87 B,-28.62%,25.4,-31.85%
2022,Wipro,Tech,$25.85 B,-50.76%,17.9,-45.41%
2022,Tech-Mahindra,Tech,$11.96 B,-48.75%,17.2,-43.81%
2022,Persistent Systems,Tech,$3.57 B,-29%,33.3,-44.31%
2022,Tanla Platforms,Tech,$1.17 B,-65.95%,20.7,-63.36%
2022,Tata Elxsi,Tech,$4.73 B,-3.63%,54.9,-24.21%
2022,Coforge,Tech,$2.86 B,-40.47%,30.1,-50.56%
2022,Indian Oil,Oil&Gas,$13.05 B,-7.42%,16.9,404.24%
2022,Oil and Natural Gas Corporation,Oil&Gas,$22.35 B,-7.1%,4.37,8.18%
2022,Bharat Petroleum,Oil&Gas,$8.66 B,-22.88%,-32.3,-895.14%
2022,Gas Authority of India,Oil&Gas,$7.63 B,-0.92%,7.56,48.21%
2022,Adani Total Gas,Oil&Gas,$49.10 B,93.82%,766.0,131.83%
2022,Reliance Industries,Oil&Gas,$208.29 B,-3.24%,27.1,1.36%
2022,Hindustan Petroleum,Oil&Gas,$4.03 B,-27.64%,-3.89,-176.89%
2022,Oil India,Oil&Gas,$2.73 B,-5.51%,2.48,-48.79%
2022,Petronet LNG,Oil&Gas,$3.90 B,-10.37%,9.24,-6.5%
2022,Gujarat Gas,Oil&Gas,$4.04 B,-31.13%,20.9,-42.94%
2022,ICICI Bank,Financial Services,$76.35 B,10.59%,19.0,-16.52%
2022,Axis Bank,Financial Services,$34.53 B,23.5%,13.9,-15.07%
2022,Kotak Mahindra Bank,Financial Services,$43.86 B,-8.38%,25.5,-22.95%
2022,State Bank of India,Financial Services,$66.19 B,19.9%,11.6,-9.6%
2022,Bajaj Finance,Financial Services,$48.11 B,-14.96%,36.9,-47.75%
2022,IndusInd Bank,Financial Services,$11.43 B,23.72%,13.9,-12.17%
2022,Bajaj Finserv,Financial Services,$29.86 B,-14.79%,41.2,-33.81%
2022,HDFC Life Insurance Co.,Financial Services,$14.70 B,-16.66%,79.0,-31.55%
2022,SBI Life Insurance Co.,Financial Services,$14.89 B,-7.36%,76.2,-12.91%
2022,Hindustan Unilever,FMCG,$72.72 B,-2.37%,61.2,-3.24%
2022,Nestlé India,FMCG,$22.84 B,-10.5%,79.6,-8.89%
2022,Britannia Industries ,FMCG,$12.55 B,7.56%,48.4,-15.89%
2022,Godrej,FMCG,$10.80 B,-18.8%,55.4,-0.01%
2022,Dabur,FMCG,$12.02 B,-12.76%,58.4,3.74%
2022,Varun Beverages,FMCG,$10.38 B,100.9%,115.0,3.44%
2022,Colgate-Palmolive India,FMCG,$5.05 B,-6.51%,39.6,5.21%
2022,Procter & Gamble India,FMCG,$5.70 B,-15.42%,93.0,7.07%
2022,Hatsun Agro Products,FMCG,$2.41 B,-33.92%,118.0,4.41%
2022,Emami,FMCG,$2.26 B,-26.97%,22.1,-45.19%
2022,Sun Pharma,Healthcare,$29.03 B,6.52%,57.2,81.34%
2022,Dr. Reddys Laboratories,Healthcare,$8.59 B,-21.48%,19.1,-33.03%
2022,Cipla,Healthcare,$10.49 B,2.54%,32.9,10.93%
2022,Apollo Hospitals Enterprise,Healthcare,$7.78 B,-19.66%,84.2,32.93%
2022,Divis Laboratories,Healthcare,$10.95 B,-34.37%,37.8,-21.85%
2022,Zydus Lifesciences Ltd,Healthcare,$5.13 B,-22.72%,20.7,100.08%
2022,Torrent Pharmaceuticals Ltd,Healthcare,$6.34 B,-14.91%,63.7,40.03%
2022,Lupin Ltd,Healthcare,$4.03 B,-30.53%,-103.0,30.96%
2022,Max Healthcare Institute Ltd,Healthcare,$5.14 B,-10.6%,43.7,-42.19%
2022,Aurobindo Pharma Ltd,Healthcare,$3.10 B,-46.31%,12.9,-14.29%
